SMILES;cas.index.name;cas.rn;Parameter;Value
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;7.7 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;13.34 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;80.28 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;100.63 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;105.68 mg/L
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12;4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxy-;117-39-5;IC50;14.99 mg/L
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;0.1 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;6.57 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;12.7 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;12.7 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;12.7 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;17.6 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;18.5 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;22 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;26.4 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;27.9 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;29.5 µM
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1;1,3-Benzenediol, 5-[(1E)-2-(4-hydroxyphenyl)ethenyl]-;501-36-0;IC50;31.2 µM
